system,workload,file_name,file_path,n_samples,n_features,target_name,MAPE_mean,MAPE_std,MAPE_min,MAPE_max,MAE_mean,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_std,RMSE_min,RMSE_max
batlik,corona,corona.csv,datasets\batlik\corona.csv,1919,11,time,12.178982497034553,0.4493502069392238,11.24719251749125,13.248621070635982,0.18053571841960786,0.005314341353431511,0.16617217432699963,0.19166671430287427,0.25923599248585044,0.0068433808049168186,0.2439357202054464,0.27112110097053793
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,1919,11,time,3.3081201014310064,0.10099330124301518,3.10066873132383,3.525018570489332,0.0691976098123554,0.002207507860374968,0.06453614919612839,0.07384299935340799,0.09646869784757663,0.0028301929436225126,0.09155456964851692,0.10283684007168784
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,1919,11,time,3.951063603532954,0.0931413949021445,3.744264296403596,4.083871885371723,0.24366097291658753,0.005904992764518601,0.2292250890860664,0.25426081387950017,0.3350352667125515,0.00820610692473148,0.3122914513839624,0.35316110495098046
batlik,flame,flame.csv,datasets\batlik\flame.csv,1919,11,time,3.2178261265927492,0.078875546507153,3.056780762287829,3.378889622977986,0.05792868846980474,0.0014168448291975808,0.055220754133716,0.06134397065289037,0.07698243562012085,0.0017883963968931267,0.07333709395593956,0.081676398349724
batlik,france,france.csv,datasets\batlik\france.csv,1919,11,time,3.9478214177549993,0.10018835755772312,3.744510460270794,4.103426863495645,0.1459459893011066,0.003445911957923259,0.1383052623245507,0.15192488409200353,0.19302462251809885,0.004524186922487949,0.18366859685158626,0.20373848600928982
batlik,frisco,frisco.csv,datasets\batlik\frisco.csv,1919,11,time,5.0882608688097895,0.16998936936875686,4.781257365416414,5.453226182957334,0.2466526742357684,0.007273867050760595,0.23213949578853155,0.26019050708545166,0.3313207991751081,0.009827098317329102,0.3134348555062123,0.3493498267042184
batlik,jelly,jelly.csv,datasets\batlik\jelly.csv,1919,11,time,16.96174826754286,0.563930333807019,15.636188456579008,18.55312348570462,0.32218462614186916,0.007628412676594296,0.3098548347480007,0.34329381521417557,0.4396499618888885,0.016240049241477046,0.4116381108283083,0.4743667063522871
batlik,karte,karte.csv,datasets\batlik\karte.csv,1919,11,time,15.059511697191427,0.3651117093182935,14.367648282579026,15.941158989842508,1.493433486101677,0.026779100260392902,1.4407180638098191,1.5585562593663436,1.8805824815032712,0.04844739930575601,1.7603780169293117,1.9577332141321724
batlik,mandelbrot,mandelbrot.csv,datasets\batlik\mandelbrot.csv,1919,11,time,4.606839715490535,0.13147098045188613,4.3790270289663775,4.906082057738819,0.06096971885641968,0.001663294131876109,0.05798933978841901,0.06463175404676497,0.08375843269341791,0.0023033891660334126,0.07996422258413985,0.08883488094270649
batlik,strawberry,strawberry.csv,datasets\batlik\strawberry.csv,1919,11,time,5.4699883589038905,0.19883942378689662,5.151282217935382,5.897339137298168,0.09402865600516977,0.0030411747143152,0.08884393166166091,0.09889527007471316,0.13066658047942778,0.003813266198830977,0.12271866783374684,0.13680822796049374
batlik,village,village.csv,datasets\batlik\village.csv,1919,11,time,56.949686310063186,2.472115527264749,50.16042440947699,62.90147096822102,1.7914449909568837,0.04419660481121191,1.7150295620043623,1.910567256106196,2.4545473167742817,0.10295890910130419,2.2388626578066675,2.6715981787438725
dconvert,jpeg-large,jpeg-large.csv,datasets\dconvert\jpeg-large.csv,6764,18,time,13.573944886826228,0.21347526795428623,12.876501406181234,14.08384616835826,0.4186740566924771,0.004174471351782726,0.40950547259213416,0.4289413129874317,0.5638740750680945,0.008829020696402044,0.545268035878893,0.5861451636040398
dconvert,jpeg-medium,jpeg-medium.csv,datasets\dconvert\jpeg-medium.csv,6764,18,time,10.287872150420743,0.14267780565500532,9.846746145783392,10.575493723114935,0.1783982976948107,0.0017506077139984048,0.17503762677095577,0.18309657804991808,0.2406484687453703,0.003830825156659802,0.2331340655851246,0.25017852367906707
dconvert,jpeg-small,jpeg-small.csv,datasets\dconvert\jpeg-small.csv,6764,18,time,3.489690047118615,0.03679122125310049,3.4235922254276225,3.5642718428603324,0.014966809213582125,0.0001637811351773351,0.01467686529066374,0.01526512286894744,0.01908250457280854,0.0002629044425626379,0.0184303109115666,0.01952384438301033
dconvert,png-large,png-large.csv,datasets\dconvert\png-large.csv,6764,18,time,9.29312089419803,0.1247694313820957,8.908862156232637,9.514718617787052,0.21926552559452472,0.002550862903332466,0.21403341221080383,0.22408744895543709,0.2798356094472051,0.004965090417145648,0.27172248816829053,0.2924859159391517
dconvert,png-medium,png-medium.csv,datasets\dconvert\png-medium.csv,6764,18,time,3.563223050576188,0.04460877219466045,3.4982824951768583,3.658990827579981,0.023152152862989345,0.0003001361500126909,0.02256479657088322,0.02375762434255589,0.029233124677471394,0.0003945735054114805,0.028316579327344982,0.029833890568675633
dconvert,png-small,png-small.csv,datasets\dconvert\png-small.csv,6764,18,time,3.3035440022088656,0.05085120231007826,3.19192112647515,3.4166950181267226,0.014848818486540077,0.00024517772304911273,0.014306022156991356,0.015343562951268737,0.019630570720690813,0.0004215761860973181,0.018765911106712132,0.020457399370694893
dconvert,psd-large,psd-large.csv,datasets\dconvert\psd-large.csv,6764,18,time,1.4381112134142298,0.01634621806434826,1.410123196727091,1.4752872465793259,0.5382117401458874,0.006494789065743642,0.5244203878569756,0.5549903345315549,0.8802723429634101,0.01841585270841012,0.8456738391169952,0.9324937480147432
dconvert,psd-medium,psd-medium.csv,datasets\dconvert\psd-medium.csv,6764,18,time,5.207159450683232,0.05801104616667602,5.084423014769008,5.298683216172603,0.06761001062605553,0.0009281491709805206,0.06552781246427848,0.06970861225770388,0.08953245312372658,0.0019509847564879495,0.08544524343759802,0.09443232122129766
dconvert,psd-small,psd-small.csv,datasets\dconvert\psd-small.csv,6764,18,time,3.571612159086269,0.051251136744727456,3.4832712791476284,3.65030064706806,0.020004791849937198,0.00028764686338464786,0.019507186612553296,0.02045389450853006,0.024908725973668406,0.0003406838400885674,0.024174486184932138,0.02547517769245634
